occurrenceID,eventID,basisOfRecord,taxonID,scientificName,recordedBy,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,publicDisplay,dataAccess,pass,length,mass,geneticsSampled,occurrenceRemarks
NIN-2021-001,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,151,31,Y,
NIN-2021-002,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,69,2.5,Y,
NIN-2021-003,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,55,2,N,
NIN-2021-004,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,57,1.75,N,
NIN-2021-005,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,53,1.25,N,
NIN-2021-006,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,48,1,N,
NIN-2021-007,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,48,1,N,
NIN-2021-008,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,54,1.25,N,
NIN-2021-009,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,41,0.5,N,
NIN-2021-010,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,46,1,N,
NIN-2021-011,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,38,0.25,N,
NIN-2021-012,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,54,0.25,N,
NIN-2021-013,NIN-2021,HumanObservation,BNT,"Salmo trutta (Linnaeus, 1758)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,132,23,N,
NIN-2021-014,NIN-2021,HumanObservation,BNT,"Salmo trutta (Linnaeus, 1758)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,158,34,N,
NIN-2021-015,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,47,1,N,
NIN-2021-016,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,54,1.5,N,
NIN-2021-017,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,37,0.25,N,
NIN-2021-018,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,47,1,N,
NIN-2021-019,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,55,1.25,N,
NIN-2021-020,NIN-2021,HumanObservation,BNT,"Salmo trutta (Linnaeus, 1758)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,103,10,N,
NIN-2021-021,NIN-2021,HumanObservation,BNT,"Salmo trutta (Linnaeus, 1758)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,265,170,N,
NIN-2021-022,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,39,0.5,N,
NIN-2021-023,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,139,24,Y,
NIN-2021-024,NIN-2021,HumanObservation,BNT,"Salmo trutta (Linnaeus, 1758)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,201,84,N,
NIN-2021-025,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,55,1.5,N,
NIN-2021-026,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,55,1.75,N,
NIN-2021-027,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,59,1.5,N,
NIN-2021-028,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,51,1.5,N,
NIN-2021-029,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,39,0.5,N,
NIN-2021-030,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,38,0.25,N,
NIN-2021-031,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,46,0.5,N,
NIN-2021-032,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,43,0.25,N,Mortality
NIN-2021-033,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,31,0.12,N,Mortality
NIN-2021-034,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,61,3,N,
NIN-2021-035,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,50,1.25,N,
NIN-2021-036,NIN-2021,HumanObservation,BNT,"Salmo trutta (Linnaeus, 1758)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,96,10,N,
NIN-2021-037,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,64,2,N,
NIN-2021-038,NIN-2021,HumanObservation,BNT,"Salmo trutta (Linnaeus, 1758)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,272,175,N,
NIN-2021-039,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,43,0.75,N,
NIN-2021-040,NIN-2021,HumanObservation,MTS,"Cottus bairdii (Girard, 1850)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,78,5.25,N,
NIN-2021-041,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,42,1,N,
NIN-2021-042,NIN-2021,HumanObservation,BRK,"Salvelinus fontinalis (Mitchill, 1814)","YK,DP,LF",1,1,individuals,present,yes,unrestricted,1,41,0.5,N,
