eventID,site,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,verbatimStartDateTime,startDate,startTime,verbatimEndDateTime,endDate,endTime,countryCode,stateProvince,county,habitatDescription,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,verbatimDatum,sampleSRS,coordinateUncertaintyInMeters,coordinatePrecision,publicDisplay,dataAccess,elevation,eventRemarks,crew,DO_mg_L,DO_Percent,pH,waterTemp,conductivity,tubidity1,tubidity2,tubidity3,grabSample,Nitrate,Ammonium,chlor1,chlor2,chlor3,surberLocationNotes,channelNotes,surveyComments,CC_0m,CC_20m,CC_40m,CC_60m,CC_80m,CC_100m,BSI_Cover_Duff_Litter_Burned,BSI_Green_Trees_alive,BSI_Brown_Trees_scorched,BSI_Black_Trees_torched,BSI_Tree_Canopy_Mortality,BSI_Green_Riparian_Vegetation_regrowth,BSI_burnCategory,BSI_notes,eDNA_reachSampleCollected,eDNA_upstreamSampleCollected,eDNA_UTMzone_reachSample,eDNA_UTMX_reachSample,eDNA_UTMY_reachSample,eDNA_UTMzone_upstreamSample,eDNA_UTMX_upstreamSample,eDNA_UTMY_upstreamSample,eDNA_notes,PC_2mm,PC_2.8mm,PC_4mm,PC_5.6mm,PC_8mm,PC_11mm,PC_16mm,PC_22.6mm,PC_32mm,PC_45mm,PC_64mm,PC_90mm,PC_128mm,PC_180mm,PC_255mm,PC_512mm,PC_1024mm,PC_2048mm,PC_4096mm,PC_over4096mm,reachLength,reachWidthFt,reachWidthM,reachDepth,reachArea
NIN-2021,North Inlet,electrofishing,966,squared meters,two-pass,2021-08-06 14:20,2021-08-06,14:20,2021-08-06 17:10,2021-08-06,17:10,US,Colorado,Larimer,alpine stream,40.25803,-105.799,decimal degrees,EPSG:4269,NAD83,EPSG:26913,30,0.001,yes,unrestricted,8515,,"YK, AH, LK, CC, LF, ES",8,75,6.54,13.5,20.4,5.48,5,5.19,Y,0.1652,0.0137,77.69,79.99,41.68,Not any good shallow riffles in reach; samples taken near bottom middle and top in relatively shallow flowing areas,channel wide and low gradient,no notes,0,0,0,0,0,0,0,0,0,10,0,90,Low/Moderate,riparian vegetation did not appear to have burned,Y,Y,13,432030,4456692,13,432134,4456724,5L,1,3,2,3,3,6,9,6,16,7,6,8,4,1,3,2,1,0,0,0,100,31.7,9.7,29.27,966
TON-2021,Tonahutu,electrofishing,647,squared meters,two-pass,2021-08-06 10:00,2021-08-06,10:00,2021-08-06 13:30,2021-08-06,13:30,US,Colorado,Larimer,alpine stream,40.25779,-105.817,decimal degrees,EPSG:4269,NAD83,EPSG:26913,30,0.001,yes,unrestricted,8645,,"YK, AH, LK, CC, LF, ES",8.63,81.5,7.95,12.4,36.6,25.9,25.8,24.7,Y,0.3679,0.0107,22.13,35.85,14.87,Bottom middle and top,high gradient stream (5-7%) ,no fish collected in pass 2,56,64,82,57,91,80,15,25,10,0,10,40,Moderate,tree canopy mortality due mostly to beetle kills,Y,N,13,430494,4456690,NA,NA,NA,filter clogged almost immediately with debris. Only filter about 0.75L at reach. No upstream sample collected.,18,1,1,2,6,1,1,5,4,5,5,6,11,7,4,3,3,1,0,0,100,21.2,6.5,20.1,647
HAG1-2021,Hague 1,electrofishing,611,squared meters,two-pass,2021-08-09 12:45,2021-08-09,12:45,2021-08-09 14:45,2021-08-09,14:45,US,Colorado,Larimer,alpine stream,40.51687,-105.73,decimal degrees,EPSG:4269,NAD83,EPSG:26913,30,0.001,yes,unrestricted,9894,,"DP, YK, AH, LF, AQ, CC, LK, T",8.23,78.3,7.45,12.3,26.2,1.64,2.3,3.15,Y,0.4306,0.022,53.05,35.44,18.2,riffles near bottom of reach,includes an island with channels that do around and a side pool,widths of side channel were added together and depths were average,0,0,0,0,0,NA,0,0,0,0,0,100,Low,meadow not burned and no trees,Y,Y,13,438190,4485384,13,438308,4485359,5L,2,0,2,0,0,3,6,12,16,18,24,2,1,0,0,0,0,0,0,0,60,33.4,10.2,18.81,611
HAG2-2021,Hague 2,electrofishing,544,squared meters,two-pass,2021-08-09 16:30,2021-08-09,16:30,2021-08-09 (time not recorded),2021-08-09,,US,Colorado,Larimer,alpine stream,40.51153,-105.709,decimal degrees,EPSG:4269,NAD83,EPSG:26913,30,0.001,yes,unrestricted,9993,time not recorded,"DP, YK, AH, LF, AQ, CC, LK, T",7.11,68.9,8.06,12.9,27.1,12.5,8.42,7.81,Y,0.7102,0.0149,33.96,25.95,NA,no comments,relatively high gradient (5-6%),no notes,0,1,0,3,0,1,5,0,10,5,0,80,Low/Moderate,grassy regrowth,Y,Y,13,439951,4484714,13,440034,4484796,5L,3,1,5,1,1,2,3,1,6,2,7,10,4,11,9,12,7,0,0,0,90,19.8,6,17.6,544
HZ2-2021,Hazeline 2,electrofishing,446,squared meters,two-pass,2021-08-10 9:45,2021-08-10,9:45,2021-08-10 11:15,2021-08-10,11:15,US,Colorado,Larimer,alpine stream,40.51131,-105.709,decimal degrees,EPSG:4269,NAD83,EPSG:26913,30,0.001,yes,unrestricted,9993,,"DP, YK, AH, LF, AQ, CC, LK, T",9.9,82.4,7.96,7.5,19.3,1.79,2.59,2.49,Y,0.5722,0.0099,40.71,67.55,42.52,towards confluence with Hague,simple channel,no notes,0,1,0,10,12,4,20,10,10,15,10,35,Moderate/High,grassy regrowth,Y,Y,13,439926,4484735,13,439967,4484711,5L,0,0,0,0,0,1,4,1,4,4,6,10,14,9,9,12,6,0,0,0,100,14.6,4.5,11.82,446
HZ1-2021,Hazeline 1,electrofishing,664,squared meters,two-pass,2021-08-10 11:11,2021-08-10,11:11,2021-08-10 13:10,2021-08-10,13:10,US,Colorado,Larimer,alpine stream,40.50928,-105.707,decimal degrees,EPSG:4269,NAD83,EPSG:26913,30,0.001,yes,unrestricted,10115,,"DP, YK, AH, LF, AQ, CC, LK, T",9.81,85.3,7.74,8.8,18.8,0.99,1.65,1.34,Y,0.5485,0.0236,20.89,43.14,38.89,even along reach,complex channel high gradient,no notes,0,0,0,0,0,0,25,0,0,65,100,10,High,no needles or leaves left - tree canopy mortality percent is not included in 100 total,Y,Y,13,440080,4484474,13,440146,4484440,5L,0,0,0,0,0,0,1,0,0,3,3,6,8,11,5,16,22,5,0,0,100,21.8,6.6,12,664
HAG3-2021,Hague 3,electrofishing,588,squared meters,two-pass,2021-08-10 14:30,2021-08-10,14:30,2021-08-10 (time not recorded),2021-08-10,,US,Colorado,Larimer,alpine stream,40.513232,-105.695712,decimal degrees,EPSG:4269,NAD83,EPSG:26913,30,0.001,yes,unrestricted,10197,time not recorded,"DP, YK, AH, LF, AQ, CC, LK, T",8.24,77.9,6.74,12.7,27.6,2.27,8.64,3.82,Y,0.7876,0.0141,36.4,52.88,25.7,even along reach,some gravel bars that split channel. some channels go around grassy mounds. channel meanders,no notes,0,0,0,0,0,0,0,0,0,0,0,100,Low,no trees within 3 m. grassy meadow,Y,Y,13,441484,4484743,13,441224,4484903,5L,5,0,0,0,0,8,7,11,17,14,7,4,3,3,1,0,0,0,0,0,103,18.7,5.7,22.14,588
HAG4-2021,Hague 4,electrofishing,2714,squared meters,two-pass,2021-08-11 12:00,2021-08-11,12:00,2021-08-11 (time not recorded),2021-08-11,,US,Colorado,Larimer,alpine stream,40.50355,-105.682,decimal degrees,EPSG:4269,NAD83,EPSG:26913,30,0.001,yes,unrestricted,10377,time not recorded,"DP, YK, AH, LF, AQ, CC, LK, T",8.7,77.1,8,10.1,23.7,3.2,2.51,1.36,Y,0.7508,0.0142,26.04,17.89,16.51,towards downstream end of reach,Braided channel with islands. length 40-60 split channel,no notes,0,0,0,0,0,0,5,10,5,5,30,80,Low/Moderate,black tree at upstream end of reach; 30% canopy mortality not included in 100% total; 100% of 100m reach is green riparian vegetation.,Y,Y,13,442243,4483850,13,442589,4483419,5L,0,0,0,0,2,2,1,1,3,7,15,19,16,13,0,0,2,0,0,0,815,10.9,3.3,13.43,2714
ONA2-2021,Onahu 2,electrofishing,419,squared meters,two-pass,2021-08-13 16:45,2021-08-13,16:45,2021-08-13 18:50,2021-08-13,18:50,US,Colorado,Larimer,alpine stream,40.31751,-105.846,decimal degrees,EPSG:4269,NAD83,EPSG:26913,30,0.001,yes,unrestricted,8757,,"YK, LF, LK, CC, KS, TW",6.86,67.4,6.44,14,18.4,1.07,3.18,1.06,Y,Below Detection,0.003,187.85,198.16,122.7,spread evenly across reach,simple channel 2-4% gradient riffle-pool sequence,no notes,8,23,0,1,2,0,0,20,5,0,0,75,Low/Moderate,grassy / small veg,Y,Y,13,428137,4463424,13,428173,4463449,5L,0,0,0,0,0,3,4,9,19,16,19,7,3,0,0,0,0,0,0,0,100,13.8,4.2,12.06,419
COLO9-2021,Colorado 9,electrofishing,821,squared meters,two-pass,2021-08-13 14:15,2021-08-13,14:15,2021-08-13 15:50,2021-08-13,15:50,US,Colorado,Larimer,alpine stream,40.29384,-105.85,decimal degrees,EPSG:4269,NAD83,EPSG:26913,30,0.001,yes,unrestricted,8694,,"YK, LF, LK, CC, KS, TW",6.7,70.1,7.73,17.2,73.1,3.01,3.25,2.98,Y,Below Detection,0.0081,20.31,17.96,50.58,evenly across reach,simple channel,no notes,0,0,0,0,2,0,0,0,10,5,0,85,Low/Moderate,,Y,Y,13,427683,4460738,13,427624,4460710,5L,18,0,0,3,7,2,3,8,9,22,10,0,0,0,0,0,0,0,0,0,100,26.9,8.2,29.75,821
